word,meaning_kor,pronunciation,part_of_speech
management,"경영, 관리",/ˈmæn.ɪdʒ.mənt/,noun
manager,"관리자, 매니저",/ˈmæn.ɪ.dʒər/,noun
manual,"수동의, 설명서",/ˈmæn.ju.əl/,adjective/noun
manufacture,"제조하다, 제조",/ˌmæn.jəˈfæk.tʃər/,verb/noun
market,시장; 마케팅하다,/ˈmɑːr.kɪt/,noun/verb
marketing,마케팅,/ˈmɑːr.kɪ.tɪŋ/,noun
material,"재료, 자료",/məˈtɪə.ri.əl/,noun
maximize,극대화하다,/ˈmæk.sɪ.maɪz/,verb
measure,"측정하다, 조치",/ˈmeʒ.ər/,verb/noun
media,"매체, 언론",/ˈmiː.di.ə/,noun
meet,"만나다, 충족시키다",/miːt/,verb
meeting,"회의, 모임",/ˈmiː.tɪŋ/,noun
method,"방법, 방식",/ˈmeθ.əd/,noun
minor,"사소한, 소수의",/ˈmaɪ.nər/,adjective/noun
mission,"사명, 임무",/ˈmɪʃ.ən/,noun
modify,수정하다,/ˈmɒd.ɪ.faɪ/,verb
monitor,"감시하다, 모니터",/ˈmɒn.ɪ.tər/,verb/noun
motivate,동기를 부여하다,/ˈmoʊ.tɪ.veɪt/,verb
move,"이동하다, 움직이다",/muːv/,verb
multiple,"복수의, 다수의",/ˈmʌl.tɪ.pəl/,adjective
negotiate,협상하다,/nɪˈɡoʊ.ʃi.eɪt/,verb
negotiation,협상,/nɪˌɡoʊ.ʃiˈeɪ.ʃən/,noun
network,"네트워크, 연결망",/ˈnet.wɜːrk/,noun/verb
note,"노트, 기록; 주목하다",/noʊt/,noun/verb
notify,통지하다,/ˈnoʊ.tɪ.faɪ/,verb
number,"수, 번호",/ˈnʌm.bər/,noun
objective,"목표, 객관적인",/əbˈdʒek.tɪv/,noun/adjective
observe,"관찰하다, 준수하다",/əbˈzɜːrv/,verb
obtain,"얻다, 획득하다",/əbˈteɪn/,verb
obvious,명백한,/ˈɒb.vi.əs/,adjective
occupy,"차지하다, 거주하다",/ˈɒk.jʊ.paɪ/,verb
offer,"제공하다, 제안",/ˈɒf.ər/,verb/noun
office,"사무실, 사무국",/ˈɒf.ɪs/,noun
officer,"임원, 담당자",/ˈɒf.ɪ.sər/,noun
official,"공식적인, 공무원",/əˈfɪʃ.əl/,adjective/noun
operate,"운영하다, 작동하다",/ˈɒp.ər.eɪt/,verb
operation,"운영, 작업",/ˌɒp.əˈreɪ.ʃən/,noun
operator,"운영자, 조작자",/ˈɒp.ər.eɪ.tər/,noun
opportunity,기회,/ˌɒp.əˈtjuː.nɪ.ti/,noun
oppose,반대하다,/əˈpoʊz/,verb
option,"선택, 옵션",/ˈɒp.ʃən/,noun
order,"주문하다, 주문",/ˈɔːr.dər/,verb/noun
organize,"조직하다, 정리하다",/ˈɔːr.ɡə.naɪz/,verb
organization,"조직, 단체",/ˌɔːr.ɡən.aɪˈzeɪ.ʃən/,noun
original,"원래의, 독창적인",/əˈrɪdʒ.ɪ.nəl/,adjective
outcome,결과,/ˈaʊt.kʌm/,noun
outside,"외부의, 밖에",/ˌaʊtˈsaɪd/,adjective/adverb
outstanding,"뛰어난, 미지급의",/aʊtˈstæn.dɪŋ/,adjective
overall,전반적인,/ˌoʊ.vərˈɔːl/,adjective/adverb
owner,"소유자, 주인",/ˈoʊ.nər/,noun
package,"패키지, 포장",/ˈpæk.ɪdʒ/,noun
page,"페이지, 장",/peɪdʒ/,noun
panel,"패널, 위원회",/ˈpæn.əl/,noun
parent,"부모, 모회사",/ˈper.ənt/,noun
participate,참여하다,/pɑːrˈtɪs.ɪ.peɪt/,verb
participant,참여자,/pɑːrˈtɪs.ə.pənt/,noun
partner,"파트너, 협력자",/ˈpɑːrt.nər/,noun
partnership,"파트너십, 협력 관계",/ˈpɑːrt.nər.ʃɪp/,noun
passenger,승객,/ˈpæs.ən.dʒər/,noun
password,비밀번호,/ˈpæs.wɜːrd/,noun
patent,"특허, 특허의",/ˈpæt.ənt/,noun/adjective
performance,"성과, 공연",/pərˈfɔːr.məns/,noun
permit,"허가하다, 허가",/pərˈmɪt/,verb/noun
period,"기간, 시기",/ˈpɪə.ri.əd/,noun
permanent,영구적인,/ˈpɜːr.mə.nənt/,adjective
personnel,"직원, 인사",/ˌpɜːr.səˈnel/,noun
perspective,"관점, 시각",/pərˈspek.tɪv/,noun
phone,"전화기, 전화하다",/foʊn/,noun/verb
photo,사진,/ˈfoʊ.t̬oʊ/,noun
physical,"물리적인, 신체의",/ˈfɪz.ɪ.kəl/,adjective
plan,"계획, 계획하다",/plæn/,noun/verb
platform,"플랫폼, 연단",/ˈplæt.fɔːrm/,noun
policy,정책,/ˈpɒl.ə.si/,noun
portion,"부분, 몫",/ˈpɔːr.ʃən/,noun
position,"직위, 위치",/pəˈzɪʃ.ən/,noun
positive,"긍정적인, 유익한",/ˈpɒz.ɪ.tɪv/,adjective
potential,"잠재적인, 가능성",/pəˈten.ʃəl/,adjective/noun
power,"권력, 전력, 힘",/ˈpaʊər/,noun
practice,"연습하다, 실행, 관행",/ˈpræk.tɪs/,verb/noun
precise,정확한,/prɪˈsaɪs/,adjective
prefer,선호하다,/prɪˈfɜːr/,verb
prepare,준비하다,/prɪˈper/,verb
presentation,"발표, 프레젠테이션",/ˌprezənˈteɪ.ʃən/,noun
preserve,보존하다,/prɪˈzɜːrv/,verb
press,"누르다, 언론",/pres/,verb/noun
pressure,"압력, 압박",/ˈpreʃ.ər/,noun
previous,이전의,/ˈpriː.vi.əs/,adjective
price,가격,/praɪs/,noun
primary,주요한,/ˈpraɪ.mə.ri/,adjective
principal,"주요한, 장",/ˈprɪn.sə.pəl/,adjective/noun
priority,우선순위,/praɪˈɔːr.ə.ti/,noun
private,"사적인, 개인의",/ˈpraɪ.vət/,adjective
procedure,절차,/prəˈsiː.dʒər/,noun
proceed,진행하다,/prəˈsiːd/,verb
process,"과정, 처리하다",/ˈproʊ.ses/,noun/verb
produce,"생산하다, 제품",/prəˈduːs/,verb/noun
product,제품,/ˈprɒd.ʌkt/,noun
production,생산,/prəˈdʌk.ʃən/,noun
productivity,생산성,/ˌprɒd.ʌkˈtɪv.ə.ti/,noun
professional,"전문가, 전문적인",/prəˈfeʃ.ən.əl/,noun/adjective
profile,"프로필, 개요",/ˈproʊ.faɪl/,noun
profit,이익,/ˈprɒf.ɪt/,noun/verb
program,"프로그램, 계획",/ˈproʊ.ɡræm/,noun/verb
progress,"진전, 진행",/ˈprəʊ.ɡres/,noun/verb
project,"프로젝트, 계획",/ˈprɒdʒekt/,noun/verb
promote,"홍보하다, 승진시키다",/prəˈmoʊt/,verb
promotion,"승진, 판촉",/prəˈmoʊ.ʃən/,noun
proof,"증거, 증명",/pruːf/,noun
proper,적절한,/ˈprɒp.ər/,adjective
proposal,제안서,/prəˈpoʊ.zəl/,noun
propose,제안하다,/prəˈpoʊz/,verb
protect,보호하다,/prəˈtekt/,verb
protection,보호,/prəˈtek.ʃən/,noun
provide,제공하다,/prəˈvaɪd/,verb
provider,"공급자, 제공자",/prəˈvaɪ.dər/,noun
provision,"공급, 규정",/prəˈvɪʒ.ən/,noun
publish,"출판하다, 발표하다",/ˈpʌb.lɪʃ/,verb
purchase,"구매하다, 구매",/ˈpɜːr.tʃəs/,verb/noun
purpose,목적,/ˈpɜːr.pəs/,noun
qualify,"자격을 주다, 자격을 얻다",/ˈkwɒl.ɪ.faɪ/,verb
quality,품질,/ˈkwɒl.ə.ti/,noun
quantity,"수량, 양",/ˈkwɒn.tɪ.ti/,noun
quarter,"분기, 1/4",/ˈkwɔːr.tər/,noun
quote,"인용하다, 견적",/kwoʊt/,verb/noun
